날짜,년,월,도시,행정구역,단지명,전용면적_㎡,층,건축년도,경과년수,거래유형,거래금액_만원,만원_per_㎡
2023-02-05,2023,2,서귀포시,보목동,로얄하이츠맨션,83.7,5,1990,33.0,중개거래,13000,155.31660692951016
2023-02-05,2023,2,서귀포시,서홍동,형남4차,84.859,4,2015,8.0,중개거래,36500,430.12526661874404
2023-02-05,2023,2,제주시,노형동,부영2차,45.9078,3,2001,22.0,중개거래,33000,718.8320938925411
2023-02-05,2023,2,제주시,노형동,한화,108.4439,13,2002,21.0,중개거래,104500,963.6318870863183
2023-02-06,2023,2,제주시,화북일동,화북주공4단지,59.93,4,1998,25.0,중개거래,35700,595.6949774737193
2023-02-06,2023,2,제주시,외도일동,더펠리스2차,84.88,4,2016,7.0,중개거래,38000,447.69085768143265
2023-02-06,2023,2,제주시,노형동,세원멤버스노형2차,84.78,5,2004,19.0,중개거래,28800,339.70276008492567
2023-02-06,2023,2,서귀포시,동홍동,제이원타워,15.2,8,2015,8.0,중개거래,6200,407.89473684210526
2023-02-06,2023,2,서귀포시,표선면,두레빌라트,83.26,5,2000,23.0,직거래,13000,156.13740091280326
2023-02-06,2023,2,제주시,외도일동,제웅1차솔내음빌리지,39.3,7,2011,12.0,중개거래,9500,241.73027989821884
2023-02-07,2023,2,제주시,한림읍,J블루오션,84.09,3,1993,30.0,직거래,15000,178.38030681412772
2023-02-07,2023,2,서귀포시,강정동,제주강정유승한내들퍼스트오션,110.9718,1,2017,6.0,중개거래,69000,621.7795872464897
2023-02-07,2023,2,제주시,이도이동,영도갤럭시타운,22.3279,8,2017,6.0,직거래,11900,532.965482647271
2023-02-07,2023,2,제주시,화북일동,화북주공4단지,59.93,6,1998,25.0,직거래,36000,600.7008176205574
2023-02-08,2023,2,제주시,삼양이동,제주삼화사랑으로부영5차,84.3616,3,2013,10.0,중개거래,50500,598.6135872245193
2023-02-08,2023,2,서귀포시,동홍동,삼아,90.36,2,1991,32.0,중개거래,21500,237.9371403275786
2023-02-08,2023,2,서귀포시,동홍동,주공5차(동홍5차),49.87,2,1999,24.0,중개거래,21500,431.1209143773812
2023-02-09,2023,2,제주시,애월읍,하귀푸르미르,84.8537,7,2022,1.0,직거래,41500,489.07708208363334
2023-02-09,2023,2,제주시,노형동,유나이티드,42.75,1,1984,39.0,중개거래,17500,409.3567251461988
2023-02-09,2023,2,제주시,외도일동,외도부영1차,59.933,2,2000,23.0,중개거래,27800,463.8513006190246
2023-02-09,2023,2,서귀포시,강정동,제주강정유승한내들퍼스트오션,84.991,3,2017,6.0,중개거래,50200,590.6507747879187
2023-02-09,2023,2,서귀포시,중문동,중문푸른마을,51.88,3,2003,20.0,중개거래,21400,412.49036237471086
2023-02-10,2023,2,제주시,일도이동,일도신천지,59.97,6,1993,30.0,중개거래,32000,533.6001334000333
2023-02-10,2023,2,제주시,용담이동,헤르지아,84.8208,3,2012,11.0,직거래,30000,353.6868315318884
2023-02-10,2023,2,제주시,한림읍,정다운,84.21,3,2011,12.0,직거래,20000,237.50148438427743
2023-02-10,2023,2,제주시,도남동,대원상록수,56.49,4,1993,30.0,중개거래,10800,191.18428040361124
2023-02-10,2023,2,제주시,노형동,부영2차,45.9078,5,2001,22.0,직거래,35000,762.3976753405739
2023-02-10,2023,2,제주시,한림읍,정다운,84.21,3,2011,12.0,중개거래,20000,237.50148438427743
2023-02-11,2023,2,서귀포시,서호동,HausD블루오션,84.94,6,2015,8.0,중개거래,48500,570.9912879679774
2023-02-11,2023,2,서귀포시,서호동,HausD블루오션,84.94,4,2015,8.0,중개거래,43500,512.1262067341653
2023-02-11,2023,2,제주시,삼양이동,제주삼화사랑으로부영5차,84.3616,1,2013,10.0,중개거래,47000,557.1255168228199
2023-02-11,2023,2,제주시,노형동,부영1차,80.6583,9,2001,22.0,중개거래,70000,867.8586084755073
2023-02-11,2023,2,제주시,노형동,부영2차,45.9078,6,2001,22.0,중개거래,38500,838.6374428746313
2023-02-11,2023,2,제주시,외도일동,해마루풍경102동,58.9336,3,2013,10.0,중개거래,25900,439.4776494224008
2023-02-13,2023,2,제주시,오라이동,헤르지아,83.28,2,2015,8.0,중개거래,39000,468.299711815562
2023-02-13,2023,2,제주시,이도이동,엘루체,43.9,8,2014,9.0,직거래,11000,250.56947608200457
2023-02-13,2023,2,제주시,이도일동,이도네오하임,80.73,3,2017,6.0,중개거래,33000,408.7699739873653
2023-02-13,2023,2,제주시,삼도일동,제동해피죤,54.81,1,2004,19.0,직거래,20000,364.8969166210545
2023-02-14,2023,2,제주시,월평동,제주첨단꿈에그린2단지아파트,101.8684,2,2017,6.0,중개거래,56000,549.7288658700834
2023-02-14,2023,2,제주시,외도일동,부영(2차),84.9873,5,2001,22.0,중개거래,45000,529.4908768721915
2023-02-14,2023,2,제주시,용담이동,장원하이빌아파트,84.639,2,2007,16.0,직거래,25500,301.2795519795839
2023-02-14,2023,2,제주시,삼양일동,라오체블랙비치,84.6909,7,2018,5.0,중개거래,31000,366.03696501040844
2023-02-14,2023,2,서귀포시,강정동,제주강정유승한내들퍼스트오션,84.991,10,2017,6.0,중개거래,49700,584.7677989434176
2023-02-14,2023,2,제주시,외도일동,부영(2차),84.9873,5,2001,22.0,직거래,45000,529.4908768721915
2023-02-15,2023,2,서귀포시,서홍동,지오빌II,84.65,6,2011,12.0,중개거래,34500,407.56054341405786
2023-02-15,2023,2,제주시,노형동,노형뜨란채,84.67,15,2006,17.0,중개거래,64000,755.8757529231133
2023-02-15,2023,2,제주시,일도이동,서반,84.8172,9,2000,23.0,중개거래,21500,253.48632117070593
2023-02-15,2023,2,제주시,외도일동,더펠리스10차,69.0372,5,2023,0.0,중개거래,35700,517.112513253724
2023-02-15,2023,2,서귀포시,서호동,HausD블루오션,84.94,1,2015,8.0,중개거래,40000,470.92064987049685
2023-02-15,2023,2,제주시,화북일동,화북주공4단지,49.5,3,1998,25.0,중개거래,27000,545.4545454545455
2023-02-16,2023,2,제주시,노형동,노형뜨란채,84.98,7,2006,17.0,중개거래,59500,700.164744645799
2023-02-16,2023,2,제주시,노형동,부영1차,80.6583,12,2001,22.0,중개거래,64000,793.4707277490352
2023-02-16,2023,2,제주시,한림읍,J블루오션,84.09,2,1993,30.0,직거래,14000,166.48828635985254
2023-02-17,2023,2,서귀포시,동홍동,주공5차(동홍5차),49.87,3,1999,24.0,중개거래,22500,451.1730499298175
2023-02-17,2023,2,제주시,이도이동,영도갤럭시타운,22.3279,7,2017,6.0,중개거래,12000,537.444184182122
2023-02-17,2023,2,제주시,연동,연동엘리시아3차,79.83,10,2013,10.0,직거래,35000,438.43166729299764
2023-02-17,2023,2,제주시,조천읍,거웅라피네,54.6,4,2014,9.0,중개거래,15000,274.72527472527474
2023-02-17,2023,2,제주시,도남동,성환,48.97,7,1991,32.0,직거래,14800,302.22585256279353
2023-02-18,2023,2,제주시,애월읍,제주하귀휴먼시아1단지,84.84,10,2010,13.0,중개거래,44000,518.6232909005186
2023-02-18,2023,2,서귀포시,서홍동,동남한올레,27.86,1,2012,11.0,직거래,8000,287.1500358937545
2023-02-18,2023,2,제주시,화북일동,덕진웰리브,84.97,7,2004,19.0,중개거래,26300,309.52100741438153
2023-02-18,2023,2,제주시,화북일동,덕진웰리브,84.97,7,2004,19.0,중개거래,26300,309.52100741438153
2023-02-18,2023,2,서귀포시,대정읍,아이진베라뷰대정,84.91,4,2017,6.0,중개거래,31000,365.0924508302909
2023-02-18,2023,2,제주시,도남동,백록,59.94,2,1994,29.0,중개거래,15500,258.5919252585919
2023-02-19,2023,2,제주시,연동,삼무파크빌,84.24,4,2007,16.0,중개거래,25600,303.89363722697055
