날짜,가격_만원
2023-06-30,49000
2023-06-30,28500
2023-06-30,53000
2023-06-30,69000
2023-06-30,34700
2023-06-30,9500
2023-06-30,58600
2023-06-30,58000
2023-06-30,35200
2023-06-30,47900
2023-07-01,39200
2023-07-01,25500
2023-07-01,33000
2023-07-01,54300
2023-07-01,36500
2023-07-01,39200
2023-07-01,38000
2023-07-01,52500
2023-07-02,55000
2023-07-02,39000
2023-07-03,53500
2023-07-03,35000
2023-07-03,30500
2023-07-03,30000
2023-07-03,36000
2023-07-03,21500
2023-07-04,14700
2023-07-04,45000
2023-07-04,54500
2023-07-04,9300
2023-07-04,43000
2023-07-04,29850
2023-07-04,12500
2023-07-04,54000
2023-07-04,54000
2023-07-04,10500
2023-07-04,30500
2023-07-04,56800
2023-07-04,63000
2023-07-04,21700
2023-07-05,45000
2023-07-05,42800
2023-07-05,44300
2023-07-05,23500
2023-07-05,42800
2023-07-05,5700
2023-07-06,18500
2023-07-06,38500
2023-07-06,30000
2023-07-06,36300
2023-07-06,33000
2023-07-06,31500
2023-07-06,25000
2023-07-06,13300
2023-07-06,17400
2023-07-06,7700
2023-07-07,25800
2023-07-07,39700
2023-07-07,40500
2023-07-07,28000
2023-07-07,44000
2023-07-07,40500
2023-07-07,33000
2023-07-08,36800
2023-07-08,12500
2023-07-08,43250
2023-07-08,30000
2023-07-09,45600
2023-07-09,39000
2023-07-09,31000
2023-07-10,35600
2023-07-10,27800
2023-07-10,77000
2023-07-10,32000
2023-07-10,18000
2023-07-10,32000
2023-07-11,23500
2023-07-11,12800
2023-07-11,23500
2023-07-11,18000
2023-07-11,38000
2023-07-11,30000
2023-07-11,7700
2023-07-11,6000
2023-07-12,8400
2023-07-12,11500
2023-07-12,36000
2023-07-12,10500
2023-07-13,20000
2023-07-13,31700
2023-07-13,83000
2023-07-13,28000
2023-07-13,55000
2023-07-13,44200
2023-07-14,30000
2023-07-14,30000
2023-07-14,34000
2023-07-14,28000
2023-07-14,21000
2023-07-14,20000
2023-07-14,35000
2023-07-14,30000
2023-07-15,15300
2023-07-15,58750
2023-07-15,30500
2023-07-15,8800
2023-07-15,35000
2023-07-16,41000
2023-07-16,37200
2023-07-16,16700
2023-07-17,42700
2023-07-17,18000
2023-07-17,8900
2023-07-17,68500
2023-07-17,60800
2023-07-18,23800
2023-07-18,25000
2023-07-18,28000
2023-07-18,35000
2023-07-18,27200
2023-07-18,23800
2023-07-18,30000
2023-07-18,31000
2023-07-18,51000
2023-07-18,53000
2023-07-19,18000
2023-07-19,30500
2023-07-19,14850
2023-07-19,50000
2023-07-19,19300
2023-07-19,6000
2023-07-19,30000
2023-07-20,25000
2023-07-20,29400
2023-07-20,5700
2023-07-20,50500
2023-07-20,69000
2023-07-20,61000
2023-07-20,5850
2023-07-20,23000
2023-07-21,55000
2023-07-21,23300
2023-07-21,18000
2023-07-21,18500
2023-07-21,19000
2023-07-21,17500
2023-07-21,68500
2023-07-21,55000
2023-07-22,24750
2023-07-22,65000
2023-07-22,37300
2023-07-22,24750
2023-07-22,25000
2023-07-22,17000
2023-07-22,47500
2023-07-22,43800
2023-07-22,44000
2023-07-23,45000
2023-07-24,24000
2023-07-24,139000
2023-07-24,32300
2023-07-24,139000
2023-07-24,32000
2023-07-24,41000
2023-07-25,31500
2023-07-25,15500
2023-07-25,22000
2023-07-25,25000
2023-07-26,8350
2023-07-26,4900
2023-07-26,20000
2023-07-26,61500
2023-07-26,16300
2023-07-26,4900
2023-07-26,49000
2023-07-26,63000
2023-07-26,27740
2023-07-27,27500
2023-07-27,56500
2023-07-27,19500
2023-07-27,49000
2023-07-28,8550
2023-07-28,54500
2023-07-28,4700
2023-07-28,49000
2023-07-28,32600
2023-07-28,27100
2023-07-28,35000
2023-07-29,33000
2023-07-29,51000
2023-07-31,25800
2023-07-31,34000
2023-07-31,55500
2023-07-31,21000
2023-08-01,25400
2023-08-01,11300
