날짜,가격_만원,전용면적_㎡,행정구역,단가_만원_per_㎡
2023-03-15,17500,59.7,제주시,293.1323283082077
2023-03-16,33000,84.978,서귀포시,388.33580456118057
2023-03-16,30500,107.93,제주시,282.59056796071525
2023-03-16,20600,71.76,서귀포시,287.0680044593088
2023-03-16,24500,84.1865,서귀포시,291.0205317954779
2023-03-16,28000,60.9375,서귀포시,459.4871794871795
2023-03-16,40000,84.9873,제주시,470.65855721972576
2023-03-17,38500,84.18,제주시,457.3532905678308
2023-03-17,22900,73.9403,안덕면,309.7093195456335
2023-03-17,14000,59.94,제주시,233.5669002335669
2023-03-17,10000,78.72,제주시,127.03252032520325
2023-03-17,24000,49.896,제주시,481.000481000481
2023-03-18,16500,59.975,한림읍,275.1146310962901
2023-03-18,24000,46.32,제주시,518.1347150259068
2023-03-18,51950,84.9297,서귀포시,611.6823678877943
2023-03-18,65300,120.362,제주시,542.5300343962381
2023-03-18,52500,84.9297,서귀포시,618.158312109898
2023-03-18,19500,49.87,서귀포시,391.01664327250853
2023-03-19,19500,59.986,제주시,325.07585103190746
2023-03-20,34000,84.89,제주시,400.51831782306516
2023-03-20,47800,84.7938,제주시,563.7204606940602
2023-03-20,5950,15.2,서귀포시,391.44736842105266
2023-03-20,56000,84.9297,서귀포시,659.3688662505579
2023-03-20,35000,84.0838,제주시,416.2514063351086
2023-03-20,56000,84.991,서귀포시,658.8932945841325
2023-03-20,20900,53.89,제주시,387.8270551122657
2023-03-21,27500,84.79,서귀포시,324.33069937492627
2023-03-21,25500,84.94,서귀포시,300.21191429244175
2023-03-21,42750,84.65,제주시,505.0206733608978
2023-03-21,55000,59.953,제주시,917.3852851400263
2023-03-21,24000,59.99,서귀포시,400.0666777796299
2023-03-22,32500,84.6909,제주시,383.74843105929915
2023-03-22,22300,71.4198,제주시,312.2383428685043
2023-03-22,13300,59.55,제주시,223.34172963895887
2023-03-22,20000,63.7711,제주시,313.62168756693865
2023-03-23,47700,84.94,서귀포시,561.5728749705675
2023-03-23,18000,90.36,서귀포시,199.20318725099602
2023-03-23,47500,84.7938,제주시,560.1824661708757
2023-03-23,8400,42.2624,서귀포시,198.75823426970547
2023-03-23,36000,84.9873,제주시,423.5927014977532
2023-03-23,62000,80.6583,제주시,768.6747675068779
2023-03-23,49500,84.9875,서귀포시,582.4385939108693
2023-03-23,35300,77.88,제주시,453.26142783769905
2023-03-23,25300,63.68,제주시,397.29899497487435
2023-03-23,10000,69.84,제주시,143.184421534937
2023-03-23,25000,84.96,제주시,294.25612052730696
2023-03-24,34500,79.56,제주시,433.6349924585219
2023-03-24,24500,62.42,제주시,392.5024030759372
2023-03-24,23000,84.55,제주시,272.02838557066826
2023-03-24,12600,49.68,서귀포시,253.6231884057971
2023-03-24,45000,57.03,제주시,789.0583903208837
2023-03-24,98000,110.63,제주시,885.8356684443642
2023-03-24,67000,80.6583,제주시,830.6646681122712
2023-03-24,33000,81.12,애월읍,406.8047337278106
2023-03-25,24000,52.32,제주시,458.7155963302752
2023-03-25,22500,59.58,제주시,377.64350453172204
2023-03-26,14200,59.755,제주시,237.63701782277633
2023-03-26,26000,80.72,제주시,322.10109018830525
2023-03-26,29300,84.97,서귀포시,344.82758620689657
2023-03-27,51500,138.14,제주시,372.81019255827425
2023-03-27,24700,71.13,서귀포시,347.2515113173064
2023-03-27,27200,84.9455,안덕면,320.2053081093172
2023-03-27,33000,84.7188,제주시,389.5239309338659
2023-03-27,35000,84.3708,서귀포시,414.83546440237615
2023-03-27,19000,56.75,대정읍,334.80176211453744
2023-03-27,19900,52.25,제주시,380.8612440191388
2023-03-27,6000,40.0,서귀포시,150.0
2023-03-28,47000,84.65,제주시,555.2274069698759
2023-03-28,18400,39.69,서귀포시,463.59284454522555
2023-03-28,82000,110.63,제주시,741.2094368616108
2023-03-28,37000,84.93,제주시,435.6528906158012
2023-03-29,54000,75.79,제주시,712.4950521176936
2023-03-29,5800,28.62,제주시,202.6554856743536
2023-03-29,34300,84.7081,서귀포시,404.9199545261905
2023-03-29,26700,84.91,안덕면,314.45059474737957
2023-03-29,15750,39.79,서귀포시,395.8280975119377
2023-03-29,33500,76.43,제주시,438.3095643072092
2023-03-29,31000,84.89,제주시,365.1784662504418
2023-03-29,23500,63.68,제주시,369.0326633165829
2023-03-29,17800,77.92,서귀포시,228.4394250513347
2023-03-29,23000,84.61,제주시,271.83548043966437
2023-03-30,21500,73.9403,안덕면,290.77512533760347
2023-03-30,25000,63.68,제주시,392.58793969849245
2023-03-30,54500,84.7758,제주시,642.8721403985571
2023-03-30,21000,47.56,제주시,441.5475189234651
2023-03-30,35000,84.82,애월읍,412.6385286489036
2023-03-30,34500,45.9078,제주시,751.5062799785657
2023-03-31,8450,22.28,제주시,379.26391382405745
2023-03-31,22500,59.928,제주시,375.45054064877854
2023-03-31,12500,59.08,서귀포시,211.5775220040623
2023-03-31,21000,68.2038,제주시,307.90073280374406
2023-03-31,10000,36.6461,서귀포시,272.8803337872243
2023-03-31,17100,46.68,서귀포시,366.32390745501283
